algo,<20,20-40,40-60,>60
VF3,0.01319,0.01335,,
TurboISO,0.01137,0.01101,,
CFL,0.06658,0.06074,,
CECI,0.01161,0.01124,,
QuickSI,0.01067,0.01212,,
DAF,0.14914,0.08681,,
GraphQL,0.01026,0.01029,,
NeuralMatch,0.00363,0.00454,,
DualMP,0.03620,0.03605,,
xNeuSM,0.00014,0.00015,,
