algo,<20,20-40,40-60,>60
VF3,0.02538,0.02911,0.01729,
TurboISO,0.15909,0.15014,0.15473,
CFL,0.08290,0.07479,0.07085,
CECI,0.15820,0.15323,0.15612,
QuickSI,0.02053,0.02101,0.01424,
DAF,0.02985,0.02983,0.02163,
GraphQL,0.02480,0.02765,0.01602,
NeuralMatch,0.00251,0.00303,0.00335,
xNeuSM,0.00026,0.00027,0.00030,
