algo,<20,20-40,40-60,>60
VF3,0.00804,0.00838,0.00808,0.00907
TurboISO,0.08354,0.10223,0.10407,0.10005
CFL,0.02660,0.10013,0.06729,0.10057
CECI,0.08218,0.10288,0.10312,0.09945
QuickSI,0.00578,0.00610,0.00618,0.00581
DAF,0.10429,0.10337,0.10278,0.10113
GraphQL,0.00574,0.00610,0.00571,0.00520
NeuralMatch,0.00122,0.00212,0.00263,0.00385
DualMP,0.01843,0.01832,0.01857,0.01984
xNeuSM,0.00028,0.00054,0.00130,0.00203
