algo,<20,20-40,40-60,>60
VF3,0.00838,0.00841,0.00865,0.00933
TurboISO,0.09982,0.10383,0.10192,0.10141
CFL,0.01858,0.10486,0.08097,0.10091
CECI,0.10066,0.10362,0.09797,0.09950
QuickSI,0.00556,0.00626,0.00694,0.00702
DAF,0.10219,0.10332,0.10773,0.10321
GraphQL,0.00554,0.00598,0.00606,0.00508
NeuralMatch,0.00164,0.00217,0.00303,0.00401
DualMP,0.01850,0.01851,0.01868,0.01874
xNeuSM,0.00040,0.00069,0.00144,0.00192
