algo,<20,20-40,40-60,>60
VF3,0.01020,0.00962,,
TurboISO,0.01685,0.00727,,
CFL,0.02930,0.06853,,
CECI,0.01732,0.00751,,
QuickSI,0.00877,0.00698,,
DAF,0.05494,0.06197,,
GraphQL,0.00917,0.00696,,
NeuralMatch,0.00290,0.00238,,
DualMP,0.01006,0.01006,,
xNeuSM,0.00015,0.00022,,
