algo,<20,20-40,40-60,>60
VF3,0.00949,0.00968,,
TurboISO,0.00988,0.00724,,
CFL,0.03818,0.06778,,
CECI,0.00976,0.00736,,
QuickSI,0.00670,0.00762,,
DAF,0.05190,0.06921,,
GraphQL,0.00665,0.00750,,
NeuralMatch,0.00380,0.00486,,
DualMP,0.01006,0.01010,,
xNeuSM,0.00018,0.00026,,
