algo,<20,20-40,40-60,>60
VF3,0.01087,0.01131,0.00950,0.01065
TurboISO,0.01403,0.00875,0.00694,0.00797
CFL,0.04790,0.09585,0.07350,0.08229
CECI,0.01412,0.00882,0.00691,0.00794
QuickSI,0.00863,0.00896,0.00774,0.00970
DAF,0.08713,0.08637,0.09153,0.06888
GraphQL,0.00802,0.00829,0.00652,0.00746
NeuralMatch,0.00306,0.00355,0.00395,0.00487
xNeuSM,0.00046,0.00137,0.00151,0.00275
