algo,<20,20-40,40-60,>60
VF3,0.01147,0.01164,0.01023,0.00867
TurboISO,0.00979,0.00942,0.00742,0.00606
CFL,0.03547,0.06087,0.05622,0.06862
CECI,0.00945,0.00920,0.00859,0.00670
QuickSI,0.00840,0.00879,0.00784,0.00709
DAF,0.08558,0.06029,0.05727,0.55895
GraphQL,0.00811,0.00884,0.00867,0.00635
NeuralMatch,0.00180,0.00247,0.00309,0.00297
xNeuSM,0.00031,0.00041,0.00049,0.00074
