epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.536,0.331,0.883,0.957,2608.976,558.214
1,0.385,0.610,0.952,0.914,2581.809,564.517
2,0.369,0.373,0.957,0.970,2597.129,559.868
3,0.361,0.293,0.960,0.982,2623.695,557.354
4,0.354,0.365,0.962,0.948,2623.969,559.478
5,0.348,0.345,0.963,0.954,2630.329,597.639
6,0.342,0.746,0.964,0.907,2487.144,461.669
