epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.761,0.794,0.642,0.585,1689.127,319.174
1,0.686,1.056,0.769,0.389,1702.206,381.128
2,0.659,1.177,0.795,0.333,1705.648,384.691
3,0.644,1.156,0.809,0.346,1710.319,373.837
