Confident,Execution Time,ROC AUC,PR AUC,Precision,Recall,F1-Score,Accuracy
0.5,0.00027905472241100286,0.6817785889194018,0.49234007047866324,0.9931997136721546,0.3642019056618631,0.532967138494632,0.8688728794366015
0.6,0.00027905472241100286,0.6734556769280757,0.4793402378909508,0.9936946404443777,0.3474814289839095,0.514906941014022,0.8654972336960625
0.7,0.00027905472241100286,0.6645942159995492,0.4654026213865661,0.9939072638075644,0.3297110008662099,0.49516113136887746,0.8618843221207252
0.8,0.00027905472241100286,0.6531117186003206,0.4474028302279407,0.9944671433435478,0.30666456676378717,0.4687731969104223,0.8572144990994683
0.9,0.00027905472241100286,0.6315272807222001,0.41345344641816417,0.9952390398730411,0.26338031866026196,0.41653002345420204,0.8484140935905871
0.91,0.00027905472241100286,0.6279083415594086,0.40772324928386705,0.995206527281999,0.25613565372601516,0.40741513924262035,0.8469311821230978
0.92,0.00027905472241100286,0.6235874717834525,0.40091884139050193,0.9953547297297297,0.2474735543481114,0.3963926086316719,0.8451678655781197
0.93,0.00027905472241100286,0.6187318951989583,0.39328537096473093,0.9956029460261625,0.23773525474446808,0.38381997711573507,0.8431888528196888
0.94,0.00027905472241100286,0.6118877486632801,0.3824506423753655,0.9955674792954625,0.2240333884557839,0.3657595886008142,0.8403848020448001
0.95,0.00027905472241100286,0.6041579300124815,0.3702497546288719,0.9957388143877679,0.2085466047195317,0.34486500564285094,0.8372248525177141
0.96,0.00027905472241100286,0.5931338887194801,0.3528140421610014,0.9957947855340622,0.18647137569887393,0.3141208463222126,0.8327114092512106
0.97,0.00027905472241100286,0.5765159115298307,0.3265509514983074,0.9960744154292541,0.15318791505892854,0.2655382655382656,0.8259115861221056
0.98,0.00027905472241100286,0.5505796153124363,0.28548013665897753,0.9958699019101703,0.10126781636349319,0.18384122370208,0.8152831552042104
0.99,0.00027905472241100286,0.5066079074617356,0.21589379187753593,0.9960474308300395,0.013229388140798487,0.026111960210346345,0.7972725213808871
