Confident,Execution Time,ROC AUC,PR AUC,Precision,Recall,F1-Score,Accuracy
0.5,0.00035952328568806765,0.7675281599288564,0.8351482538942051,0.9885191153156431,0.5468547253703124,0.7041625107898518,0.7012993688913189
0.6,0.00035952328568806765,0.7582534682338774,0.8288303112406405,0.9890651439666156,0.5273371649575322,0.6879055853557897,0.6889505744467577
0.7,0.00035952328568806765,0.7475001950381125,0.8214758338231901,0.9895801776794584,0.5048757957090122,0.6686246882080771,0.6746834526154443
0.8,0.00035952328568806765,0.7330493385511829,0.8115630224748206,0.9901666129527893,0.4748590098881784,0.6418857528775563,0.6555609296761274
0.9,0.00035952328568806765,0.7039442241730924,0.7915137514524406,0.9910106378411794,0.41487935415925326,0.5848961949113464,0.6171897087927622
0.91,0.00035952328568806765,0.6986107047353599,0.7878462954318278,0.9912394463118334,0.40385175280632324,0.5738890591480232,0.6101472742694116
0.92,0.00035952328568806765,0.6924040095919415,0.7835750781645142,0.991496846633371,0.39103773754452553,0.5608723110830423,0.6019575818326686
0.93,0.00035952328568806765,0.6846548076386382,0.7782269575042231,0.9917232859789994,0.3751253544971263,0.5443478351580144,0.5917584356168673
0.94,0.00035952328568806765,0.6746283073458036,0.7712949463550143,0.9919461872586872,0.3546049581073358,0.5224443756007275,0.5785824939190658
0.95,0.00035952328568806765,0.6615601882441358,0.762246605169169,0.9921592935751882,0.32793455327071896,0.4929396731745401,0.56143203957222
0.96,0.00035952328568806765,0.6448427480920291,0.7506663071025766,0.9924369339840241,0.293845318840736,0.45343538971393704,0.539500954490545
0.97,0.00035952328568806765,0.6222477432609227,0.7350274101864233,0.9930828757943885,0.24770048632153294,0.3965029171125764,0.5098381455078194
0.98,0.00035952328568806765,0.5885216921158293,0.711629621208572,0.9937782918220432,0.17912663410145538,0.3035406477076849,0.4656535281101555
0.99,0.00035952328568806765,0.515730816317025,0.6610011246243118,0.9937170425221586,0.03183554927734705,0.06169459884927767,0.37050355509758703
