Confident,Execution Time,ROC AUC,PR AUC,Precision,Recall,F1-Score,Accuracy
0.5,0.000534814503646024,0.8277868515426465,0.772261375863312,0.8302555179831801,0.8242624045106989,0.8272481069042317,0.827785079928952
0.6,0.000534814503646024,0.8219715285197535,0.7730912390118245,0.8478300052538531,0.7849730952292187,0.8151916703923747,0.8219529307282416
0.7,0.000534814503646024,0.8130909030288052,0.7714996026183305,0.8667919867249461,0.7400223333564123,0.7984064126567612,0.8130541740674956
0.8,0.000534814503646024,0.7975672722044278,0.7648084356150552,0.8895136612148827,0.6796370563287015,0.7705396804949771,0.7975079928952042
0.9,0.000534814503646024,0.7616383939513243,0.7415624390438347,0.9227715501910345,0.5711232187017893,0.7055600820694126,0.7615426287744227
0.91,0.000534814503646024,0.7550550487038284,0.7366025863889408,0.9271336541977448,0.5536684046917801,0.6933061825166228,0.7549538188277087
0.92,0.000534814503646024,0.7469519115879838,0.7300666584497992,0.9310756206695671,0.533431685316262,0.6782693885659014,0.7468445825932505
0.93,0.000534814503646024,0.7371551088087969,0.7218540835829196,0.9348910945236383,0.5098538390116514,0.6598504726149831,0.7370408525754885
0.94,0.000534814503646024,0.7252047582931577,0.7114456403665994,0.9382595778491726,0.4821697086544419,0.6369910161559091,0.725082593250444
0.95,0.000534814503646024,0.7102675652165323,0.698171121921146,0.9417492746164231,0.44829153374058867,0.607432852587811,0.7101358792184724
0.96,0.000534814503646024,0.6897452086245154,0.6793229368489582,0.9442223293546563,0.4033407718677823,0.5652326971423027,0.689601243339254
0.97,0.000534814503646024,0.6612769816843672,0.6529030992676832,0.9469952668195192,0.3416985778019219,0.5021936547736615,0.6611163410301953
0.98,0.000534814503646024,0.6139527853066534,0.6081026289085574,0.9469319835406992,0.24145056747673904,0.3847873138023228,0.613765541740675
0.99,0.000534814503646024,0.5246612784644464,0.5230667077656919,0.9256150240495082,0.053637336827136624,0.10139883609319308,0.5244245115452931
