Confident,Execution Time,ROC AUC,PR AUC,Precision,Recall,F1-Score,Accuracy
0.5,0.0001805898681204155,0.45840685982138557,0.48820791515674933,0.3428282889795587,0.08893180468835363,0.14122814444552456,0.45663425925925927
0.6,0.0001805898681204155,0.4928213969619604,0.4995283242839492,0.4017944867730753,0.02853242446621829,0.05328121735068894,0.49059391534391533
0.7,0.0001805898681204155,0.4942377147719383,0.50160663415423,0.1381386403545447,0.0021747515556977304,0.0042820890995948595,0.4918769841269841
0.8,0.0001805898681204155,0.4989156374245375,0.5023025336375222,0.08921370967741936,0.0002330090952533283,0.00046480421107363213,0.49652314814814813
0.9,0.0001805898681204155,0.49997009462062036,0.5023988095238096,0.0,0.0,0.0,0.49757142857142855
0.91,0.0001805898681204155,0.49998338590034463,0.5023988095238096,0.0,0.0,0.0,0.4975846560846561
0.92,0.0001805898681204155,0.49998870241223436,0.5023988095238096,0.0,0.0,0.0,0.4975899470899471
0.93,0.0001805898681204155,0.4999920252321654,0.5023988095238096,0.0,0.0,0.0,0.497593253968254
0.94,0.0001805898681204155,0.4999953480520965,0.5023988095238096,0.0,0.0,0.0,0.49759656084656084
0.95,0.0001805898681204155,0.49999933543601377,0.5023988095238096,0.0,0.0,0.0,0.4976005291005291
0.96,0.0001805898681204155,0.49999933543601377,0.5023988095238096,0.0,0.0,0.0,0.4976005291005291
0.97,0.0001805898681204155,0.5,0.5023988095238096,0.0,0.0,0.0,0.4976011904761905
0.98,0.0001805898681204155,0.5,0.5023988095238096,0.0,0.0,0.0,0.4976011904761905
0.99,0.0001805898681204155,0.5,0.5023988095238096,0.0,0.0,0.0,0.4976011904761905
