Confident,Execution Time,ROC AUC,PR AUC,Precision,Recall,F1-Score,Accuracy
0.5,8.771006777686508e-05,0.6399157072368422,0.5975341679467585,0.6970923413313254,0.49486533717105263,0.5788239679209325,0.6399157072368421
0.6,8.771006777686508e-05,0.6478957648026316,0.6193146794860169,0.8067484531774358,0.3889658717105263,0.5248705460991826,0.6478957648026316
0.7,8.771006777686508e-05,0.6439499383223685,0.6263197799676332,0.8775257665254889,0.33459909539473687,0.4844704318659967,0.6439499383223685
0.8,8.771006777686508e-05,0.6168025287828947,0.608041432608043,0.9249922388997565,0.2542197779605263,0.3988278922299479,0.6168025287828948
0.9,8.771006777686508e-05,0.5490851151315789,0.5471339737620814,0.9602498361414196,0.10240953947368421,0.18508046088051813,0.549085115131579
0.91,8.771006777686508e-05,0.5346828741776316,0.5333042078107959,0.9602493622709973,0.07236122532894737,0.1345808793937905,0.5346828741776316
0.92,8.771006777686508e-05,0.5189509662828947,0.5181634830148293,0.9584462735931166,0.039619654605263156,0.07609379149132339,0.5189509662828947
0.93,8.771006777686508e-05,0.5101336348684211,0.5096657205063445,0.9538256145842924,0.021298314144736843,0.0416662477049276,0.510133634868421
0.94,8.771006777686508e-05,0.508541324013158,0.5081955520201465,0.9595177524610109,0.017835115131578948,0.035019306032403455,0.5085413240131579
0.95,8.771006777686508e-05,0.5069418174342105,0.5067003171721358,0.9652108018737945,0.014402754934210527,0.028381997253159073,0.5069418174342105
0.96,8.771006777686508e-05,0.5041616981907895,0.5039956843181941,0.960109103307194,0.008684210526315789,0.017212731471812827,0.5041616981907895
0.97,8.771006777686508e-05,0.5030622944078947,0.5029664170342052,0.9686910006293267,0.006329152960526316,0.012576136999620083,0.5030622944078947
0.98,8.771006777686508e-05,0.5013512541118421,0.5013079601032747,0.9679601281594874,0.0027950246710526316,0.0055739543198145974,0.5013512541118421
0.99,8.771006777686508e-05,0.500185546875,0.5001775613132912,0.9569620253164557,0.0003885690789473684,0.0007768227333679273,0.500185546875
