epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.523,0.293,0.891,0.965,11190.287,1136.954
1,0.342,0.195,0.965,0.989,10998.791,1159.046
2,0.307,0.535,0.971,0.933,11032.773,1146.309
3,0.287,3.770,0.976,0.808,11037.163,1128.162
4,0.253,3.883,0.981,0.656,11008.198,1129.785
