epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.824,0.736,0.490,0.583,826.781,199.009
1,0.800,0.709,0.606,0.696,823.930,204.281
2,0.730,0.663,0.735,0.741,822.390,200.116
3,0.765,0.712,0.663,0.593,820.282,202.660
4,0.791,0.544,0.638,0.862,825.092,199.002
5,0.671,0.634,0.785,0.779,817.748,203.845
6,0.682,0.579,0.781,0.848,820.881,198.067
7,0.724,0.625,0.743,0.780,816.892,202.080
