Confident,Execution Time,ROC AUC,PR AUC,Precision,Recall,F1-Score,Accuracy
0.5,0.00038191028172249967,0.6452250813659165,0.609874149908149,0.7584752716323127,0.4258705294962179,0.5454695161363364,0.6453800856531049
0.6,0.00038191028172249967,0.6177715412300521,0.5885549665695717,0.7543885651823512,0.3490132213341333,0.47723610109995723,0.6179614561027837
0.7,0.00038191028172249967,0.5869956670617414,0.5643405966338959,0.743120145747435,0.2657123877686588,0.39145491796809634,0.5872226980728051
0.8,0.00038191028172249967,0.5461643261113358,0.5320554061616787,0.7015339089393741,0.1605288533653331,0.2612720069194498,0.5464368308351177
0.9,0.00038191028172249967,0.5002517143570363,0.4997733396949404,0.5028291415112218,0.03979900143570403,0.0737598961094663,0.5005770877944326
0.91,0.00038191028172249967,0.4973914551212095,0.49844634262186316,0.4598313505033338,0.030147641802558554,0.05658540901650223,0.49772162740899356
0.92,0.00038191028172249967,0.4941078544921815,0.4973855330163129,0.3834853090172239,0.0194655752458911,0.03705048148495589,0.4944432548179872
0.93,0.00038191028172249967,0.49217412316880726,0.49733448871658636,0.29524608501118565,0.011312062056699594,0.021789289031059745,0.4925139186295503
0.94,0.00038191028172249967,0.4921774104063937,0.4978176123151676,0.23365370613077036,0.006876379454432468,0.013359589012581077,0.4925203426124197
0.95,0.00038191028172249967,0.4928438663375826,0.49842575897971825,0.17049148035063527,0.003709259219577003,0.007260555803725911,0.4931895074946467
0.96,0.00038191028172249967,0.4944510313482905,0.4988031662866058,0.15190552871712293,0.0024256969593074336,0.004775142262961853,0.4947987152034261
0.97,0.00038191028172249967,0.49660024152876253,0.49899912372999955,0.1903370348723943,0.00209355647459661,0.004141559082922322,0.49694967880085655
0.98,0.00038191028172249967,0.4984861076218292,0.49926344732028416,0.2529658060013957,0.0015535603317119162,0.003088155114836775,0.4988372591006424
0.99,0.00038191028172249967,0.5000404369748295,0.49966760241285124,0.5170193192272309,0.0012042771123063406,0.002402957090968174,0.5003929336188437
