epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.464,0.474,0.885,0.900,6152.267,1813.584
1,0.249,0.309,0.975,0.964,7548.581,1710.933
2,0.153,0.901,0.991,0.769,7536.007,1385.238
3,0.135,0.975,0.993,0.827,6801.690,1382.932
4,0.127,1.028,0.993,0.834,5727.819,1214.804
