Confident,Execution Time,ROC AUC,PR AUC,Precision,Recall,F1-Score,Accuracy
0.5,0.00010569883219086298,0.983014237025542,0.9701159755757497,0.9726426002465839,0.9945944710093805,0.9834960581093782,0.9831353135313531
0.6,0.00010569883219086298,0.9823604564431548,0.9728411945304222,0.9796703492920983,0.9856059418358548,0.9826291821273838,0.9823943894389439
0.7,0.00010569883219086298,0.9683048324259986,0.9640576131394547,0.9901197185264676,0.9462517310757492,0.967688815924619,0.9680742574257426
0.8,0.00010569883219086298,0.9471930572568471,0.9453556016574286,0.9946000418993405,0.8993722400773432,0.94459214232053,0.9466930693069306
0.9,0.00010569883219086298,0.9069924185110226,0.906983937340498,0.997564374383607,0.8160193096600559,0.8977052443601254,0.9060412541254126
0.91,0.00010569883219086298,0.9031699641219271,0.9033055489707928,0.997802215528053,0.80815761281388,0.8930225843416435,0.9021765676567657
0.92,0.00010569883219086298,0.8992145047020798,0.8994619779525601,0.9979589841362959,0.800099945128165,0.8881432253994497,0.8981782178217822
0.93,0.00010569883219086298,0.8951886843572905,0.8955424076001909,0.9981022558867116,0.7919148963967495,0.8831334867999301,0.8941089108910891
0.94,0.00010569883219086298,0.8911728351054453,0.8916407606032536,0.9982693347755544,0.7837331138459931,0.8780871595387696,0.8900495049504951
0.95,0.00010569883219086298,0.8868367966184393,0.8874175010486562,0.9984261246475613,0.7749209584280525,0.8725887186050704,0.8856666666666667
0.96,0.00010569883219086298,0.8811567247902612,0.881864305059532,0.9985816027034994,0.7634207363277677,0.8653086156950216,0.8799257425742574
0.97,0.00010569883219086298,0.8743363417897759,0.8751634707275374,0.9986859852934777,0.7496799142954195,0.8564509569065555,0.8730330033003301
0.98,0.00010569883219086298,0.8637374018891671,0.8647429129723199,0.9988354124207744,0.7283419560502731,0.8424076777926157,0.8623217821782179
0.99,0.00010569883219086298,0.852544396720751,0.8537522425609669,0.9990429692917973,0.7057791800580073,0.8271874318132229,0.851009900990099
