Confident,Execution Time,ROC AUC,PR AUC,Precision,Recall,F1-Score,Accuracy
0.5,0.00017237466576166058,0.8864730674342106,0.8635411633989192,0.9406636426503511,0.8249856085526316,0.8790352524959336,0.8864730674342105
0.6,0.00017237466576166058,0.8818086965460525,0.8600461586932461,0.9430014610728449,0.8127425986842105,0.8730400695661776,0.8818086965460527
0.7,0.00017237466576166058,0.8750467722039473,0.8545941465216164,0.9454664665899082,0.7960063733552631,0.8643227915319572,0.8750467722039473
0.8,0.00017237466576166058,0.8620286800986843,0.8432833654539332,0.948221465107015,0.76587890625,0.8473515678711379,0.8620286800986842
0.9,0.00017237466576166058,0.7988358347039475,0.7840961941553659,0.9506764623353027,0.6303772615131579,0.7580828100555862,0.7988358347039474
0.91,0.00017237466576166058,0.7825940583881579,0.7686262105743158,0.950572747730398,0.596188322368421,0.7327833402508893,0.7825940583881579
0.92,0.00017237466576166058,0.7643436472039474,0.7512529998954689,0.9504786763482206,0.5577467105263157,0.7029802836792137,0.7643436472039473
0.93,0.00017237466576166058,0.7449095394736843,0.7330241061991178,0.9514701089222233,0.5161451480263158,0.6692444465770441,0.7449095394736842
0.94,0.00017237466576166058,0.7159580592105264,0.7064034625472017,0.9557571655429151,0.4528803453947368,0.6145564517253982,0.7159580592105264
0.95,0.00017237466576166058,0.6894716282894737,0.6813797009296128,0.9572921421908184,0.39663856907894735,0.5608839245739404,0.6894716282894737
0.96,0.00017237466576166058,0.6617747738486842,0.6557945567153246,0.9630336857157148,0.33646484375,0.49869541402797485,0.6617747738486842
0.97,0.00017237466576166058,0.6396376439144738,0.6352522761325539,0.9685946592982783,0.2886338404605263,0.4447388782809991,0.6396376439144736
0.98,0.00017237466576166058,0.5577955386513157,0.5547658243449806,0.9475787512836639,0.12236019736842105,0.21673371770466043,0.5577955386513158
0.99,0.00017237466576166058,0.5037972861842105,0.5036956165951124,0.9732257238022034,0.007809416118421053,0.015494500339585932,0.5037972861842105
