epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.515,0.409,0.843,0.909,4547.106,1015.600
1,0.471,0.408,0.884,0.905,4511.859,873.232
2,0.502,0.469,0.866,0.898,4843.125,901.567
3,0.577,0.614,0.849,0.797,4400.820,864.234
