Confident,Execution Time,ROC AUC,PR AUC,Precision,Recall,F1-Score,Accuracy
0.5,0.02388950673545279,0.6596774193548388,0.8284253119028886,0.9285714285714286,0.41935483870967744,0.5777777777777778,0.5365853658536586
0.6,0.02388950673545279,0.5145161290322581,0.7617623918174666,0.8,0.12903225806451613,0.2222222222222222,0.3170731707317073
0.7,0.02388950673545279,0.5161290322580645,0.7639653815892997,1.0,0.03225806451612903,0.0625,0.2682926829268293
0.8,0.02388950673545279,0.5,0.7560975609756098,0.0,0.0,0.0,0.24390243902439024
0.9,0.02388950673545279,0.5,0.7560975609756098,0.0,0.0,0.0,0.24390243902439024
0.91,0.02388950673545279,0.5,0.7560975609756098,0.0,0.0,0.0,0.24390243902439024
0.92,0.02388950673545279,0.5,0.7560975609756098,0.0,0.0,0.0,0.24390243902439024
0.93,0.02388950673545279,0.5,0.7560975609756098,0.0,0.0,0.0,0.24390243902439024
0.94,0.02388950673545279,0.5,0.7560975609756098,0.0,0.0,0.0,0.24390243902439024
0.95,0.02388950673545279,0.5,0.7560975609756098,0.0,0.0,0.0,0.24390243902439024
0.96,0.02388950673545279,0.5,0.7560975609756098,0.0,0.0,0.0,0.24390243902439024
0.97,0.02388950673545279,0.5,0.7560975609756098,0.0,0.0,0.0,0.24390243902439024
0.98,0.02388950673545279,0.5,0.7560975609756098,0.0,0.0,0.0,0.24390243902439024
0.99,0.02388950673545279,0.5,0.7560975609756098,0.0,0.0,0.0,0.24390243902439024
