Confident,Execution Time,ROC AUC,PR AUC,Precision,Recall,F1-Score,Accuracy
0.5,0.0003650788301684717,0.5,0.5002513321492007,0.5002513321492007,1.0,0.6668900355949833,0.5002513321492007
0.6,0.0003650788301684717,0.5,0.5002513321492007,0.0,0.0,0.0,0.4997486678507993
0.7,0.0003650788301684717,0.5,0.5002513321492007,0.0,0.0,0.0,0.4997486678507993
0.8,0.0003650788301684717,0.5,0.5002513321492007,0.0,0.0,0.0,0.4997486678507993
0.9,0.0003650788301684717,0.5,0.5002513321492007,0.0,0.0,0.0,0.4997486678507993
0.91,0.0003650788301684717,0.5,0.5002513321492007,0.0,0.0,0.0,0.4997486678507993
0.92,0.0003650788301684717,0.5,0.5002513321492007,0.0,0.0,0.0,0.4997486678507993
0.93,0.0003650788301684717,0.5,0.5002513321492007,0.0,0.0,0.0,0.4997486678507993
0.94,0.0003650788301684717,0.5,0.5002513321492007,0.0,0.0,0.0,0.4997486678507993
0.95,0.0003650788301684717,0.5,0.5002513321492007,0.0,0.0,0.0,0.4997486678507993
0.96,0.0003650788301684717,0.5,0.5002513321492007,0.0,0.0,0.0,0.4997486678507993
0.97,0.0003650788301684717,0.5,0.5002513321492007,0.0,0.0,0.0,0.4997486678507993
0.98,0.0003650788301684717,0.5,0.5002513321492007,0.0,0.0,0.0,0.4997486678507993
0.99,0.0003650788301684717,0.5,0.5002513321492007,0.0,0.0,0.0,0.4997486678507993
