epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.509,0.786,0.891,0.919,4675.250,534.715
1,0.361,2.750,0.961,0.619,5852.009,617.684
2,0.341,2.526,0.966,0.828,7454.014,509.325
3,0.330,0.812,0.969,0.948,4667.400,511.344
4,0.317,0.511,0.972,0.963,4663.519,510.746
5,0.308,12.132,0.974,0.674,4664.979,514.580
6,0.301,0.997,0.976,0.875,4511.335,492.031
7,0.293,5.009,0.978,0.844,4417.196,454.557
