Confident,Execution Time,ROC AUC,PR AUC,Precision,Recall,F1-Score,Accuracy
0.5,9.618908718326374e-05,0.9176732113486842,0.9101085324529189,0.9818885226770023,0.8510444078947368,0.9117963046685319,0.9176732113486842
0.6,9.618908718326374e-05,0.9118575246710526,0.9051512229252282,0.9837169376687224,0.8375791529605263,0.9047851182954265,0.9118575246710526
0.7,9.618908718326374e-05,0.9047368421052632,0.8988672500818051,0.9854977570291672,0.8215635279605263,0.8960946933979452,0.9047368421052632
0.8,9.618908718326374e-05,0.8948401521381578,0.8899455699957399,0.9876036362666951,0.7997183388157895,0.8837856305853178,0.8948401521381579
0.9,9.618908718326374e-05,0.8780006167763158,0.8741685325333346,0.9898622275390391,0.7638240131578947,0.8622757270557218,0.8780006167763158
0.91,9.618908718326374e-05,0.8751855468749999,0.8714917511634244,0.9901547494503931,0.757907072368421,0.8586026855352467,0.875185546875
0.92,9.618908718326374e-05,0.8717357113486843,0.8682081497553988,0.9905105657444445,0.7506630345394737,0.8540672416626268,0.8717357113486842
0.93,9.618908718326374e-05,0.8677672697368422,0.8643992897381407,0.9908420887994973,0.7423961759868422,0.8488127601109022,0.8677672697368422
0.94,9.618908718326374e-05,0.8632581208881579,0.8600881741409117,0.9912735694951683,0.73296875,0.8427731310453405,0.8632581208881579
0.95,9.618908718326374e-05,0.8578741776315789,0.8549593493103542,0.9918551588703183,0.7216745476973684,0.8354645039598716,0.8578741776315789
0.96,9.618908718326374e-05,0.8502754934210527,0.8477038259414644,0.9926581575705702,0.7057709703947368,0.8249850401213131,0.8502754934210527
0.97,9.618908718326374e-05,0.8373653371710528,0.8351407496812651,0.9934059986469217,0.6792393092105263,0.8068182789462437,0.8373653371710527
0.98,9.618908718326374e-05,0.8155576685855264,0.8137212559380661,0.9941804214244203,0.6348314144736842,0.7748709361917566,0.8155576685855264
0.99,9.618908718326374e-05,0.7801320929276315,0.778864879509467,0.995476371861142,0.5628217516447368,0.7190867355616394,0.7801320929276315
