epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.644,0.605,0.816,0.796,4431.038,852.368
1,0.498,0.716,0.907,0.753,4266.590,994.941
2,0.464,0.412,0.922,0.947,4206.137,697.816
3,0.515,0.681,0.897,0.793,3985.492,1127.072
4,0.424,0.286,0.939,0.972,5745.662,1151.068
5,0.391,0.512,0.951,0.898,5740.292,1164.055
6,0.400,1.175,0.954,0.779,5738.177,1150.038
7,0.366,1.688,0.959,0.732,5757.998,1158.167
