epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.440,2.162,0.931,0.706,3915.322,679.814
1,0.361,0.220,0.959,0.981,3922.107,582.479
2,0.343,0.677,0.964,0.894,3996.351,689.924
3,0.328,0.404,0.967,0.947,4100.683,809.052
4,0.308,0.483,0.971,0.939,3887.257,702.604
