epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.518,0.494,0.848,0.891,5514.817,587.319
1,0.280,0.432,0.965,0.913,4352.414,586.615
2,0.228,0.572,0.978,0.892,4350.444,590.684
3,0.198,1.006,0.984,0.798,4347.226,586.196
4,0.226,1.078,0.979,0.812,2441.902,408.428
