Confident,Execution Time,ROC AUC,PR AUC,Precision,Recall,F1-Score,Accuracy
0.5,0.0004702336458617417,0.7213230800459965,0.6559494515374774,0.6971296025809485,0.7885277906130246,0.7400172715625821,0.7216455026455026
0.6,0.0004702336458617417,0.7192406001562055,0.6551230141357003,0.6999636439491015,0.7730333439964614,0.7346861409575667,0.7194986772486772
0.7,0.0004702336458617417,0.7128963735604719,0.6510522157423249,0.7016090702049708,0.7462136022021334,0.7232242478215964,0.7130562169312169
0.8,0.0004702336458617417,0.7018669328398252,0.6435376470917618,0.7025382028778715,0.7052026850019812,0.7038679223590549,0.7018829365079365
0.9,0.0004702336458617417,0.6544986088936311,0.6081711037815628,0.687916846019324,0.5701456109379999,0.6235187581971285,0.6540939153439154
0.91,0.0004702336458617417,0.638241399665018,0.5957827145066054,0.6787697853503604,0.5294743341139796,0.5948982897171519,0.6377195767195767
0.92,0.0004702336458617417,0.6156151179362118,0.5787336557912535,0.6634325910804367,0.47403001736378514,0.5529622869972028,0.6149358465608465
0.93,0.0004702336458617417,0.5855837215860379,0.5567176627018395,0.6377464034458304,0.4013285467736139,0.4926417237774047,0.5846997354497354
0.94,0.0004702336458617417,0.550500253114142,0.5324169937864359,0.5972820427427111,0.3163697446246645,0.41364110472741544,0.5493769841269841
0.95,0.0004702336458617417,0.5147150749597739,0.5102635926692298,0.5370477077421907,0.22698508610146823,0.3191010154661021,0.5133346560846561
0.96,0.0004702336458617417,0.47972743391716016,0.49357737241415844,0.437239320927029,0.13538223364888294,0.20674889177045325,0.47807539682539685
0.97,0.0004702336458617417,0.45700911463907307,0.4895821114900462,0.299563128003495,0.06318759075177686,0.10436187363905478,0.455119708994709
0.98,0.0004702336458617417,0.45331711952822795,0.4947623069028389,0.16437109689283935,0.02259135075504162,0.0397231117864984,0.4512506613756614
0.99,0.0004702336458617417,0.46748779354884046,0.4987217331198102,0.11364355308110843,0.009458589544605444,0.017463672037829447,0.4652903439153439
