epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.561,0.572,0.867,0.856,2915.668,543.805
1,0.410,0.672,0.943,0.855,2961.344,535.112
2,0.369,0.361,0.957,0.945,2974.990,515.304
3,0.362,0.347,0.959,0.953,2983.184,482.415
4,0.362,0.276,0.959,0.967,3002.003,480.584
5,0.368,0.206,0.957,0.984,3009.534,469.369
6,0.357,0.245,0.960,0.976,3039.103,542.236
7,0.365,0.289,0.958,0.966,3040.665,483.298
8,0.343,0.359,0.964,0.943,3068.586,522.276
