epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,2.207,14.344,0.897,0.899,673.763,140.697
1,1.803,12.526,0.921,0.834,683.870,143.790
2,1.383,11.059,0.978,0.874,688.465,140.539
3,1.332,9.967,0.983,0.957,697.513,145.645
4,1.319,10.664,0.985,0.888,699.576,145.794
5,1.496,9.589,0.978,0.916,699.888,148.301
6,1.328,9.972,0.985,0.950,698.123,147.721
