epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.495,0.156,0.905,0.994,1643.808,360.303
1,0.384,0.198,0.952,0.986,1651.048,349.265
2,0.372,0.206,0.956,0.994,1480.199,362.180
3,0.379,0.140,0.953,0.996,1595.944,288.983
4,0.370,0.233,0.956,0.982,1211.026,217.490
5,0.367,0.159,0.957,0.994,1136.376,271.007
6,0.355,0.155,0.960,0.994,1227.125,271.726
