Confident,Execution Time,ROC AUC,PR AUC,Precision,Recall,F1-Score,Accuracy
0.5,9.075360041797946e-05,0.6175421463815789,0.5762300725568805,0.6485339506172839,0.5132164884868421,0.5729945186110141,0.6175421463815789
0.6,9.075360041797946e-05,0.6225349506578948,0.5934070565278928,0.7622890940616281,0.35612253289473683,0.48545332761611687,0.6225349506578948
0.7,9.075360041797946e-05,0.6299537417763158,0.6105132700278554,0.8504046787515938,0.31538754111842104,0.46012837625039366,0.6299537417763158
0.8,9.075360041797946e-05,0.6327821751644737,0.6220607347919698,0.9192554244632337,0.29113692434210525,0.44221891724146006,0.6327821751644737
0.9,9.075360041797946e-05,0.5417115542763158,0.5395466106504275,0.9480972679285289,0.08825452302631578,0.16147773930412634,0.5417115542763158
0.91,9.075360041797946e-05,0.5209416118421053,0.519491072253245,0.930734100135318,0.045250822368421054,0.08630560260995043,0.5209416118421053
0.92,9.075360041797946e-05,0.5162376644736842,0.5152206748558009,0.9373684793443349,0.03480057565789474,0.06710965035741331,0.5162376644736842
0.93,9.075360041797946e-05,0.5143544407894737,0.5136174405201773,0.9486569849633724,0.0303515625,0.058821185667440955,0.5143544407894737
0.94,9.075360041797946e-05,0.512946134868421,0.5123740309714127,0.9558089033659066,0.027147409539473685,0.05279529802185061,0.512946134868421
0.95,9.075360041797946e-05,0.5114915707236842,0.5110564207119895,0.9621331128565523,0.023924753289473685,0.04668853248277315,0.5114915707236842
0.96,9.075360041797946e-05,0.5094577508223683,0.5091564964584137,0.9681473566376635,0.019559004934210526,0.038343377469764316,0.5094577508223684
0.97,9.075360041797946e-05,0.5054029605263157,0.5052388248419925,0.9696211579699786,0.011155427631578948,0.022057089895039798,0.5054029605263158
0.98,9.075360041797946e-05,0.5008197985197369,0.5008063754997047,0.9836264402668283,0.0016673519736842106,0.003329060833353003,0.5008197985197368
0.99,9.075360041797946e-05,0.5,0.5,0.0,0.0,0.0,0.5
