Confident,Execution Time,ROC AUC,PR AUC,Precision,Recall,F1-Score,Accuracy
0.5,0.00017781840162302452,0.8906085722021988,0.8236230470667122,0.826333064204725,0.991634051975509,0.901468456107577,0.891093253968254
0.6,0.00017781840162302452,0.9136076723982143,0.8567593117073412,0.8608853469812192,0.9884904038429387,0.9202855654625118,0.9139669312169312
0.7,0.00017781840162302452,0.9324387401579453,0.8869958566687474,0.8936551154621778,0.9829798045619759,0.9361916069765079,0.932681216931217
0.8,0.00017781840162302452,0.9519288997683004,0.9220930666051066,0.933150097711656,0.9743308228907082,0.9532959336723819,0.9520363756613757
0.9,0.00017781840162302452,0.9572778944304297,0.9415809148128934,0.9650571272940921,0.9492579910929969,0.9570923628467406,0.957239417989418
0.91,0.00017781840162302452,0.9570063761894835,0.9428789906486745,0.9684845721316252,0.9450625109428706,0.9566301970240185,0.956949074074074
0.92,0.00017781840162302452,0.9561000730396647,0.9436664846696551,0.972143924645413,0.9393768257315761,0.9554795300103772,0.9560198412698413
0.93,0.00017781840162302452,0.9548143915352519,0.9443882925971956,0.9764866962932731,0.9322944023843281,0.9538789770997713,0.9547063492063492
0.94,0.00017781840162302452,0.9494757521757199,0.9410867921407502,0.9807042634174906,0.9171711905974906,0.9478743138806145,0.9493207671957672
0.95,0.00017781840162302452,0.9342753576395035,0.9279773927836222,0.9846982622479276,0.8823949122398229,0.930743841359018,0.934026455026455
0.96,0.00017781840162302452,0.8920817564319385,0.8880723774369415,0.9883979458658254,0.7935684223967816,0.8803324378851262,0.891609126984127
0.97,0.00017781840162302452,0.8057736360625178,0.8041551130028182,0.9916191540424883,0.6168106188958529,0.7605445191387619,0.8048670634920635
0.98,0.00017781840162302452,0.5932317441116931,0.5944280903961523,0.9918609980694176,0.18802122620707268,0.3161178586249827,0.5912876984126985
0.99,0.00017781840162302452,0.5091720535968832,0.511438854682779,0.9903589021815623,0.018526197725989204,0.036372000821878504,0.5068181216931217
