epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,1.764,11.205,0.836,0.954,577.667,131.239
1,1.401,8.068,0.969,0.983,591.477,126.658
2,1.538,8.003,0.964,0.981,594.023,120.447
3,1.390,8.383,0.974,0.980,592.981,128.442
4,1.383,8.021,0.979,0.985,618.813,161.702
5,1.381,8.681,0.977,0.918,641.235,133.326
6,1.365,7.973,0.983,0.985,588.695,123.808
7,1.406,8.007,0.978,0.972,592.762,121.937
8,1.652,14.763,0.979,0.950,595.208,130.699
9,1.502,8.132,0.974,0.973,591.600,130.610
